rugalmasság, lendület, mozgékonyság|resilience|proficient|meticulous|aplomb
a szívet és az ereit, a szívkeringési rendszert illető.|cardiovascular|fluent|serendipity|bilateral
allergiát okozó/kiváltó anyag, allergén|allergen|converse|unprecedented|collateral
rákkeltő|carcinogen|comprehend|quandary|disparate
klórozott|chlorinated|articulate|resilience|exorbitant
kaszál, arat, learat|reap|vocabulary|ineffable|foment
petyhüdt, ernyedt|flabby|grammar|jubilant|gregarious
karcsú, sudár; 2. csekély (tudás stb)|slender|syntax|zealous|histrionic
sarlatán|quack|linguistics|perseverance|ineffable
elájul|pass out|pronunciation|precarious|jeopardy
átmegy vmin (megpróbáltatás)|pass through|idioms|aberration|kindle
kínzó/szúró fájdalom, nyilallás, szúrás|twinge|dialect|melancholy|luminous
kenőcs, balzsam|ointment|accent|esoteric|misanthrope
gyulladás|inflammation|multilingual|resplendent|nebulous
duzzad, dagad|swell|polyglot|exacerbate|obliterate
pattanás, dudor|pimple|interpret|pragmatic|palpable
ragályos/fertőző betegség|catching disease|translate|superfluous|querulous
fertőzésgátló|antiseptic|transcribe|ubiquitous|recalcitrant
fertőző, ragályos|infectious|subtle|facetious|surreptitious
felmegy, feljut, felvisz, feljuttat|get up|nuance|incessant|trepidation
fölé húz, ráhúz; 2. áthajt a másik oldalra|pull over|eloquence|ostentatious|ubiquitous
nehéz/szorult/veszélyes helyzetből kisegít; 2. meggyógyít|pull through|debater|scintillating|vehement
rándulás, ficam|sprain|oratory|vicarious|wistful
szegély, szél; 2. tapogató (rovar)|fringe|persuasion|capricious|abhorrent
az áramlat közepe/zöme/dereka|mainstream|rhetoric|eclectic|bombastic
egymást kiegészítő|complementary|discourse|incontrovertible|clandestine
pszichoszomatikus|psychosomatic|cohesive|myriad|diaphanous
érzéstelenítő szer|anaesthetic|paraphrase|quixotic|elucidate
maláriaterjesztő szúnyog|anopheles|proficiency|visceral|frenetic
lábápoló, pedikűrös|chirodopist|semantics|idiosyncrasy|garrulous
nőgyógyász|gynaecologist|pragmatics|lucid|harangue
hátgerincmasszőr|osteopath|lexicon|quizzical|incendiary
gyermekgyógyász, gyermekorvos|pediatrician|jargon|ephemeral|juxtapose
allergia|allergy|colloquial|juxtapose|knotty
kölcsönös gátlás (gyógyszer); 2. kibékíthetetlen ellentét|antagonism|eloquent|nonchalant|loquacious
himlő|smallpox|enunciate|veracity|malfeasance
kiküszöböl, kiirt|exterminate|articulation|alacrity|nefarious
vmnek a megfelelő/kielégítő volta |adequacy|eloquent|cacophony|obfuscate
bárányhimlő|chickenpox|accentuate|dichotomy|pernicious
pocak, has, bendő|paunch|enunciate|facade|quixotic
pocak, has, bendő|tummy|innuendo|hegemony|resplendent
idegengyűlölet|xenophobia|vernacular|insidious|stalwart
némaság, süketnémaság|mutism|eloquence|nefarious|tantamount
hajlam|dispose|diction|paradigm|upbraid
