tiltás|ban|intrepid|twinge|jangled nerves
odahív|beckon|exuberant|pebble|gridlock
böfög|belch|accomplishment|gurgle|keep out of
lehajlít|bend down|infernal|unruffled|smear
meghajol|bow|platitude|forcibly|gratitude
vödör|bucket|far-sightedness|typeface|devout
sebesülés|casualy|congestion|groove|dumbshow
jótékonyság|charity|bewilder|vex|clamour
arc|cheek|fad|typographical|incorporate
evőpálca|chopstick|anticipate|foetus|proliferation
bók|compliment|re-run|bewildered|forewarn
érdeklődő|concerned|terse|go through with|adequately
keresztbe teszi a lábát|cross your legs|covet|impartial|patchwork
viszatasít|decline|go it alone|keep off|shudder
menekül|escape|morose|come to terms with|flawlessly
fogja a kezét|flod your arms|go for|incessantly|devote
kitárja a kezét|hold out your arms|ipso facto|cut back|undue
duda |horn|stoutly|crumble|go through with
vendégül lát|host|kill time|councillor|successor
ölel|hug|morose|overindulge|enhance
megcsókol|kiss|make off with|seniority|tilt
lefekszik|lie down|insignificant|aggravated|glitch
felemeli a lábát|lift up your feet|favourable|reap|slough
bólint|nod|nape|restrained|crust
bántó|offenisve|enchant|unsown|boisterously
résztvevő|participant|mandatory|unrelenting|goner
háton ütöget|pat somebody on the back|gulf|substandard|bond
mutat|point |plausible|bead|considerate
hegyes|pointed|vista|indulging|whiskers
tiltakozás|protest|smallpox|glutinous|grave
pontosság|punctuality|yield|incessantly|gulf
felteszi a kezét|put up your hand|stature|intrepid|swivel
csökent|reduce|lure|bewildered|grind
kockázat|risk|elderflower|canola|shrilly
telepes|settler|sprout|plumage|intrepid
kezet ráz|shake hands|atrocious|immerse|unbridgeable
fejet ráz|shake your head|summons|cystitis|irascible
feliratkozik|sign up |hold sthg back|a word in edgeways|cologne
leül|sit down|nape|infer|unwind
fel ül|sit up|hold sthg back|marsupial|concur
feláll|stand up|egged on|crust|acorn
babona|superstition|rudder|patchwork quilt|misty
körbefordul|turn over|change face|go to his head|erode
körbefordul|turn round|divisional|anathema|intrepidity
önkéntes|volunteer|go on at|horse-harness|premise
integet|wave|whatsoever|absent-minded|mumble
kacsint|wink|go down with|successor|bring in
kívánság|wish|put sb on|doormat|bulkhead
villacsont|wishbone|obscurely|bring sth about|bundle
mosogatógép|dishwasher|doctorate|tilt|to be taken with
háztartási gép|domestic appliance|fortuitous|swiftly|keep up with
fagzasztó|freezer|get over|caustic|despondent
hűtő|fridge|trade in|wither|recuperation
vasaló|iron|plumage|put my foot in it|fleece
gyümölcsprés|juicer|take it out on sb|homespun|refurbished
vízforraló kanna|kettle|get through|concoct|incapacitate
mikrohullámú sütő|microwave|cognoscente|accomplishment|allergen
sütő|oven|abattoir|habituate|ostracism
kenyérpirító|toaster|doze|recluse|agog
szárítógép|tumble dryer|indentation|spar|liaison
porszívó|vacuum cleaner|ram|liaison|plausible
mosógép|washing machine|underfunded|doodle|take issue with someone
