lószerszám|horse-harness|reins|saddle|stirrups
réz|brass|trumpet|instrument|band
1. lepárol, desztillál; 2. találó válasz|retorts|chemistry|experiments|laboratory
üvegbura|cloches|gardening|plants|glass brochure
fénytörés|refraction|optics|light|phenomenon
durva, nyers|coarse|texture|sandpaper|fabric
honnan?, ahonnan, miért?|whence|origin|source|derivation
román (stílus), újlatin (nyelv)|romanesque|architecture|style|cathedral
elvetetlen, bevetetlen|unsown|fields|crops|agriculture
kavar, kever, megkavar, felkavar|stir|mix|blend|agitate
fazekasagyag|clay|pottery|sculpt|mold
ostoba, értelmetlen|fatuous|exasprating|vexing|ridiculous
napsugár|sunbeams|sunlight|rays|sunshine
1. nehéz, fárasztó munka; 2. keményen dolgozik; 3. halászháló|toil|labor|work|effort
vigasztalás, enyhülés|solace|comfort|consolation|relief
koppintás, koppanás|rap|knock|tap|pound
megbízás, meghagyás|commission|job|task|assignment
töltés, gát, töltésút|dyke|ditch|waterhole|plead
fáradt, kimerült, elcsigázott|weary|down under the weather|hangover|fatigue
fájdalmat okozó, fájó|hurtful|harmful|damaging|injurious
fogékony, érzékeny|susceptible to|vulnerable to|prone at|inclined by
1. kétséges, bizonytalan; 2. kétértelmű|dubious|uncertain|questionable|doubtful
elszánt, törekvő|intent|purpose|aim|objective
1. gyalogosan; 2. folyamatban, mozgásban van|afoot|underway|in progress|happening
