előzékenység, udvariasság|courtesy|intervene|set out to|peace of mind
kutyafáradt|dog tired|crusted|bombardment|bring on 
hülyebiztos|foolproof|antsy|cuisiner|shred
tanya, telepeseknek juttatott föld (us)|homestead|galore|venue|impose
sűrű (füst, köd, lakosság, tömeg, erdő, szövet stb.)|dense|obscurely|swell |put your foot down
1. áthatolhatatlan; 2 kideríthetetlen; 3 nem fogékony|impenetrable|rudder|grudge|scavenger
támadható, védhetetlen|assailable|stark|antagonism|incapacitate
megcáfolhatatlan; megtámadhatatlan erőd, jog|unassailable|weary|swarm|lure
kéretlen|unsolicited|prunes|dressing-gown|contemptuous
1. bejárati nyílás; bebocsátás; 2. kis/keskeny öböl|inlet|contemplate|go up to|vex
fárasztó felmászás hegyre stb.|clamber|cardiovascular|enchant|intricate
bizonytalan, kényes|precarious|compatriot|apprenticeship|mutter
el van bátortalanítva|egged on|sunbeams|seniority|carcinogen
irtózik|abhor|advocate|tempestuous|guff
1. köpköd; 2. zagyvál, hadar|splutter|get on|leafy|bulkhead
kandalló - fatüzelésű|woodstove|mercury|clay|go along with
1. lefolyócső; 2. kiokád|spout|warble|pastiche|irksome
1. elegáns bunda; 2. dagadás, növekedés |swell|breadth|inculcate sg upon sy|juxtapose
mintegy próbaképpen|tentatively|contaminated|waft|impressionable
lehorgonyoz|anchor|pluck|oesophagus|clamour
nyüzsög|bustle|premise|dense|woodstove
1. ügyesség fortély; 2. összekoppant|knack|diverting|fogey|put my foot in it
hozzáértő|adept|get sb down|carnivore|methodical
titokzatosság|eeriness|deodorise|intriguing|blushing
erőszakosan|forcibly|shavings|editorial|dog tired
különc|eccentric|jaded|shavings|idle
1. rárak, rátesz; 2. tiszteletet kelt vkben (upon) |impose|dressing-gown|come apart|concoct
vizesárok|ditch|his heart is pounding|rattle|intervene
1. széle vmnek; 2. közeledik; lemegy a nap|verge|pebble|bias|despondent
bosszant|vex|few and far between|dreary|grunt
feltétlenül szükséges, meghatalmazott|mandatory|associate professor|pluck|invigorate
törvénysértés, birtokháborítás|trespass|bleach|amiable|in my mind’s eye
merev|stark|attainment|stop over|misty
polgári engedetlenség|civil disobedience|gurgle|toil|a word in edgeways
futó pillantás|glimpse|stamina|thus|condemn
felfog, megért|comprehend|studenthood|carousel|gratitude
tisztán látható, nyilvánvaló|conspicuous|broadly speaking|apprehensive|insignificant
megmagyarázható|explicable|bead|business associate|comprehend
megfontolt|considerate|studenthood|assertive|catchy
öntelt|conceited|moist|undertaking|ointment
mogorva|sullen|unfurl|intersection|haul
igénytelen, szerény|unassuming|perishable|seniority|refurbished
lelkesedés/érdeklődés nélküli, nemtörődöm|nonchalant|cross|compassionate|hide
nyugodt, nyugis (légkör, vagy személy)|laid back|retorts|edifying|slob
társas (lény)|gregarious|enhance|crumble|pungent
