tejgazdaság|dairy|commission|anchor|endeavour
ráfanyalodik vkre/vmre|fall back|horse-harness|typographical|make amends for sth
dorgálás, feddés (hivatalos)|reprimand|elusive|nutter|grunt
megbüntet, fenyít|chastise|bewildered|tear up|restrain
1. bemocskol, maszatol; 2. maszat, folt, mocsok|smear|tantalise|sardonic|testimonial letter
kiemel, fokoz, hangsúlyoz|enhance|acorn|profound|rant 
nem megfelelő/helyénvaló/alkalmas, indokolatlan, jogtalan|undue|telly|count in|good for nothing
1. alátámaszt; 2. támogat|bolster|suppress|stark|conspicuously
kölni (víz)|cologne|nodder|muzak|flawlessly
szúrós, orrfacsaró|pungent|lime cordial|imminent|change heart
szakkifejezés|term|atrocious|take pity on someone|awkward
figyelmetlenül, hanyagul|negligently|blighted|escape|ostentation
burjánzás|proliferation|extrude|get over with|cardiovascular
poggyász|baggage|apprentice|conspicuous|ostracism
kíváncsi várakozásban, izgatottan |agog|put sb down|osteopath|skimp and scrape
képvisel, véd (bíró előtt)|plead|reassuringly|thick and thin|fridge
körhinta|carousel|bristling|successor|rudimentary
1. ülő-; 2. nem vándorló (állat)|sedentary|dimple|get across to|retailer
mérföldekben kifejezett hosszúság/távolság|mileage|captivate|plentiful|pretence
fodrász, fodrász|barbershop|roam|irascible|agog
joviális|debonair|dog tired|throw light on|indulge
1. bőrkiütés; 2. meggondolatlan, elhamarkodott|rash|fittings|alas|habituate
járdaszegély, szegélykő, kerékvető|kerb|touchy|end user|afoot
lustaság, tunyaság|sloth|supine|bulletin|tempestuous
megdöbbentően, rémítően|appallingly|aerodrome|go down with|hold to
rászoktat/rákapat vkt vmre|habituate to|get sb down|mitigate|exterior
nevetséges|ludicrous|concoct|end user|gallows
kigöngyöl, kinyit, kigöngyöl|unfurl|furl|whirlwind|extract
kiszalad, kiugrik, kipattan, kilő|pop out|pointed|studenthood|give as good as he got
taposómalom|treadmill|blot|stupefy|go on at
bosszantó, idegesítő|exasperating|bleach|slob|inherent
gyorsan, sebesen|swiftly|take back|scrutinise|dissertation
útkereszteződés, csomópont|intersection|smudge|retailer|risk
muskátli|geranium|moisten|cheek|tumble dryer
jól fejlődik, gyarapszik, növekszik|thrive|reverberate|livid|weary
vállalkozás vmre|undertaking|underdeveloped|bring sb out|typographical
csíra, bimbó, rügy|sprout|immerse|immense|alas
túlfűtött|overheated|incorporate|overindulge|knock sb into shape
meghökkent, meglepett|astounded|concur|manqué|bluff
leveles, lombokban gazdag|leafy|microwave|breadth|brass
lassú és rövid séta, kószálás|stroll|spar|self-fulfilling prophecy|bucket
akadály, gát|impediment|come in useful|bring on |dairy
korróziót okozó, bomlasztó, gyengítő|corrosive|alienation|bend down|wave
1. barátságos/kellemes modorú; 2. egyesületi/klub-/kaszinói tagságra érdemes|clubbable|typographical|conspicuously|meander
folyamatos, folyékony|flowing|convention|tiepin|forcibly
szelíd, nyugodt|placid|fall back|cognoscente|sit up
1. ripacs; 2. rabló|mugger|revered|verge|budge
jogtalanul|unduly|take sb in |get off to sleep|morose
