csüggedt, levert, elkeseredett|despondent|crusted|intent|gulf
elcsigázott, kimerült|jaded|endeavour|pincers|toil
félénk, bátortalan|timid|cardiovascular|solemn|captivate
összeegyeztethetőség|compatibility|hypodermis|cheek|vireo
1. átmeneti tartózkodás; 2. tartózkodási hely|sojourn|obscurely|lime cordial|strike a balance
súlyos (hiba, tévedés)|grave|blushing|his heart is pounding|sticky 
ravasz, dörzsölt|cunning|crave sg from/of sy|lenient|apprentice
szentel|devote|assiduously|shred|vireo
befolyásolható|impressionable|come in useful|afoot|stroll
áthatóan, metszően|penetratingly|go in for|whatsoever|courtesy
éles/metsző hangon|shrilly|bucket|seep|settler
tömör, velős, magvas|terse|stint |guff|do away with
törékeny, múlandó|frail|kettle|mingle|alfalfa
ingerlékeny, hirtelen haragú|irascible|work over|reverberate|nonchalant
jelentéktelen|insignificant|agog|hold out for|scrutinise
1. settenkedik, lopakodik; 2. alattomos, gyáva ember|sneak|resemble|morose|tumble dryer
szilfa|elm|flod your arms|crack down on|pilgrim
morzsál, szétmorzsol (passzív értelem is)|crumble|crockery|guttular|supplier
nyilvánvalóan|evidently|appetiser|compassionate|a word in edgeways
zarándoklat|pilgrimage|go into|superstition|herd of cattle
megszerzés, vagyonszerzés, vétel|acquisition|derelict|barbershop|get sb down
1. összekotyvaszt; 2. megemészt|concoct|blighted|irascible|track-and-field athletics/events
gyalogösvény|foothpath|debonair|untinged with|strive for / to / after
visszavonhatatlan|irrevocable|self-defeating|rattle|put sb in a bad light
keserűen gúnyos|sardonic|impediment|work over|notorious
előre nem látott, váratlan |fortuitous|decompose|conspicuous|kerb
talpraesett válasz|repartee|breadth|proliferation|down with ...
meghosszabbít|prolong|atrocious|courtesy|pincers
bizonytalanul|indefinitely|dissuade sy from doing sg|ruthless|upheaval
kalandozás, kóborol|roam|appetising|grind|doormat
nekilódul|hurtle|testimonial letter|invigorate|restrain
gyászos|mournful|treadmill|perishable|spout
akasztófa|gallows|bead|repertoire|revamp
összeszaggat, összetép|shred|intervene|vendor|glorified
körültekintő, okos|prudent|obstinate|plumage|microwave
vigyázatlanságból eredő tévedés, elnézés|oversight|absently|repartee|resourcefulness
elszánt|resolute|rash|assailable|bond
szorgalmasan tanuló|studious|leafy|put up your hand|prunes
könnyen becsapható|gullible|shoal|considerate|get at 
léha, könnyelmű|frivolous|vivid|concerned|disgraceful
ünnepélyes|solemn|lynx-eyed|subsidise|rift
öntudatos magatartás, hidegvér|aplomb|compulsive|go it alone|resolute
csapda|pitfall|proliferation|cunning|ruthless
életképes|viable|explain away|swath|unmemorable
benyújt|submit|postpone|perch|put yourself in my shoes
kül-, kinti|exterior|belch|saunter|fatuous
kiszélesít|widen|good for nothing|wordly-wise|sunbeams
kiderít, kipuhatol|ascertain|“underwhelming”|antsy|galore
feledhető|unmemorable|vex|gut|glitzy
felfog, megért|conceive|take aback|kettle|warble
eléggé|sufficiently|shoal|recluse|sulky
tiltakozik|depracate|rodent|inherent|willow
