épületes, tanulságos|edifying|put paid to|sketchy|ostentation
sasszemű|lynx-eyed|unpeel|doodle|tilde
mentes valamitől|untinged with|persistent|go barmy|stew
kisegítő, tartalék-, adalék-|subsidiary|change heart|unsolicited|overture
kilátásba helyezett, leendő|prospective|halo effect|retorts|tumble dryer
alaposan/tüzetesen megvizsgál|scrutinise|revamp|caret|kerb
elfoglaltság/foglalkozás nélküli|idle|take up|refraction|quadruple
túláradó, gazdag, felesleges|redundant|appal|plummet|foolproof
fazekasáru, cserépedény|crockery|gormless|infamous|unfurl
megváltoztatja a véleményét|change heart|devise|think up|give oneself away
180 fokos fordulat|change face|anticipate|indentation|post-natal
érvelésen (annak menetén, elvén) változtat|change line of argument|flap|inculcate sg upon sy|sunbeams
segít valakinek|lend sb a hand with|retailer|frantic|romanesque
rendelést tesz/felad/eszközöl v. ad fel|place an order|rabid|canola|tranquilizer
1. egyenleget készít; 2.  számlát kiegyenlít|strike a balance|rack my brains|gulf|imbecile
fényt/világosságot derít vmre|throw light on|overture|canola|liaison
döntéshez jut|reach the decision|swiftly|circulation|antagonism
kifogást emel|raise an objection|snarl|afoot|get over
lehűl (szeretet, lelkesedés)|cool off|dumbshow|patchwork|unwind
befejezi/abbahagyja a telefonbeszélgetést|ring off|allergy|plough|glorified
szemügyre veszi a helyet, körülnéz|shop around|skimp and scrape|mileage|crusted
útját rövid időre megszakítja|stop over|tranquilizer|afoot|tummy
csökkent, lefarag, visszavág|cut back|crockery|ponder over|acorn
merész képzelettel megálmodik/megtervez/kigondol vmt|dream up|crustacean|contaminated|sufficiently
megnyugtató magyarázatot ad, helyreigazít|explain away|inculcate sg upon sy|terse|upheaval
halványabbá/gyengébbé tesz|tone down|lustrous|impractical|debonair
„régit ad újat kap” csereakció|trade in|top seed|exuberant|pilgrimage
elhasznál, felhasznál, elfogyaszt|use up|incapacitate|penetratingly|overture
felküld, felszolgál (ebéd), igazgatóhoz küld (diákot büntire)|send up|debonair|conceited|awkward
beleszámít vkt/vmt vhova/vmbe|count in|venerable|tame|defiance
ide-oda v. jobbra-balra rángat/küldözget vkt; parancsolgat|order about|unsolicited|knock sb into shape|scrutiny
veszni hagy egy lehetőséget|miss out on|pull over|bereavement|loose a  roll
igen szigorúan bánik vkvel, rámászik vkire|crack down on|bring in|do up|loom
lassan megy felfelé v. emelkedik vmin|creep up on|extrude|perch|washing machine
tárgyra vezet/terel|lead up to a subject|get sb down|caret|lend sb a hand with
megvédi/fenntartja jogait|stick up for one's rights|oblivious|rift|intrepid
kiizzad, kiválaszt|exude|overwhelm|pop out|wary
ártalmatlan|innocuous|resolute|swarm|give away
elnéz, megbocsát|indulge|in legal parlance|emit|nape
megbocsátó, elnéző|indulging|microwave|foothpath|pluck
erősít, éltet, erőt ad|invigorate|contemptuous|escape|intrepidity
rögzült szokás|groove|conjecture|lozenge|pilgrim
ütközik, egybeesik|concur|smear|atrocious|doodle
vigyorgás, széles mosoly|grin|incorporate|dim|derelict
összekeveredés, keverék|mingle|do away with|scanty|woodstove
jámbor, ájtatos|devout|sprout|lever|be in a spot of bother
1. póráz, kötél, szíj; 2. rabszolga 3. kötelezettség, szerződés|bond|sit up|glitzy|sit down
kényszerítő erejű|compulsive|bring in|take yourself out of yourself|tiepin
1. póráz, kötél, szíj; 2. rabszolga 3. kötelezettség, szerződés|bond|rivulet|studious|plumage
kényszerítő erejű|compulsive|appraisal|suppress|in my mind’s eye
1. követelmény; 2. követel, javasol|postulate|fin|ascribe|in good faith
másik oldal, ellentétes oldal|flipside|chickenpox|order about|crack down on
méltatás, dicséret|appraisal|candidly|his heart is pounding|laterite
komolyan, megfontoltan|earnestly|grave|as good as new|hug
meghódít, megnyer|captivate|earnestly|get over with|mugger
a tőzsdén a legnagyobb forgalmú, leglikvidebb és legnagyobb kapitalizációjú papírjainak a gyűjtőnevéül szolgál.|blue-chip|glimpse|occurrence|ripen
kedvező, alkalmas, szerencsés|favourable|infer|vacuum cleaner|feasible
rögzít,|fixate|tentatively|flabby|prairie
1. lenéz valahova, áttekint; 3. szemet huny vm fölött|overlook|rudimentary|palatability|whatsoever
idejétmúlt|outmoded|participant|edifying|alienation
formába hoz|knock sb into shape|consistency|allotted|habituate
bél|gut|cross your legs|irksome|sully
önbeteljesítő jóslat|self-fulfilling prophecy|splutter|endeavour|hold out your arms
amikor egy csinos embert egyől okosnak is tartunk|halo effect|grumble|impose|give as good as he got
hosszúság – filmtekercsek lábban|footage|gallows|intervene|recluse
négyszeres|quadruple|grope|peace of mind|bring on 
pótanyagból készült|ersatz|silkscreen print|exuberant|wary
feloldható (kémia), megoldható|soluble|hasty|stop over|perch
romlandó|perishable|bucket|beckon|mandatory
makk|acorn|rudimentary|apprehension|prolong
ólomnehezék|plummet|attainment|make out|appallingly
