előétel|appetiser|come to terms with|scavenger|set sy back
bárdolatlan|surly|rodent|erode|slender
kettészakít|tear up|wade through a book|pygmy|vireo
hosszasan/kimerítően/tüzesen előad/elmond/elbeszél/elmesél vmt|rehearse|break up|slob|knock sb into shape
lelkiismeretlen, gátlástalan|unscrupulous|testimonial|do for|eeriness
csökkent, csorbít, mérsékel|diminish|mileage|fad|shudder
józan|sober|take up|diminish|do out of
1. rossz előérzet; 2. értelmes|apprehensive|dyke|consistency|willow
felvesz, felhúz – ruhát|draw on|catching disease|stir|outlet
kockázat, kockázatos vállalkozás, spekuláció|venture|work up|praiseworthy|abhor
kockázat nélkül nem lehet nyerni|nothing venture nothing gain/win|overture|change line of argument|undertaking
pástétom leveles tésztában|vol-au-vent|woodstove|dog tired|doze
másodszakács, másodséf|sous-chef|post-natal|self-defeating|venerable
csomag, batyu|bundle|put sb off|appalling|pungent
lelombozó|“underwhelming”|unrelenting|amphibian|adequacy
tiszteletreméltó|venerable|take offence|boldness|stop over
értéktelen cicoma|frippery|alas|trade in|refurbished
klientúra|clientele|exude|covet|turgid
szégyenérzet nélkül|unashamedly|tingle|revolting|put sb in a bad light
jótáll, kezeskedik|vouch for|distinguished|up the ...|peculiar
1. egyenes nyílt, őszinte; 2. határozószó is (=candidly)|downright|mugger|get my own back|immerse
mesterszakács|cuisiner|hum|mutter|wry
1. találkozóhely; 2. csörte 3. illetékes törvényszék/bíróság|venue|lustrous|clamber|obstinate
étvágygerjesztő|appetising|reluctantly|galore|moist
fent a levegőben, a magasban|aloft|cranky|upset|aloft
bőségesen (jelzett szó után)|galore|dust off|acorn|flawlessly
sikertelen (jelzett szó után)|manqué|shoreline|yield|swings and roundabouts
összeállás, állag, sűrűség|consistency|hold sthg back|cloches|to be taken with
szagtalanít|deodorise|sunbeams|assert|bulletin
maró, égető (szer)|caustic|coup|baggage|caret
nem emulgeált|unemulsified|nag|rumpus|put your foot down
emulgeált (folyadékot egy másik folyadékban finoman szétoszlat)|emulsified|murmur|courteous|dodgy
fertőzött, szennyezett (radioaktív anyagokkal stb.)|contaminated|circulation|zap|emulsified
elszíntelenedés, fakulás, szőkítés|bleach|forewarn|swarm|solace
kisajtol, kibukkan (geol), kilök, kitaszít|extrude|sojourn|for good|pluck
