demokráciapárti|pro-democracy|sprout|come to something|appetiser
monarchista|pro-monarchy|deposit|impractical|keep off
újból megerősít/odaerősít/megköt/bekapcsol/összekapcsol|refasten|shudder|frolic|leafy
túlnő, kinő|outgrow|ponder over|vagrant|forcibly
számbeli fölényben van|outnumber|ointment|amiable|apprenticeship
megszerzi a szavazatok többségét vkvel szemben|outvote|take pity on someone|place an order|inkling
saját érdekei ellen dolgozó|self-defeating|prudent|aspen|single-minded
önfenntartás|self-preservation|absorbing|courtesy|absenteeism
gyenge minőségű|substandard|vista|agog|atrocious
születés előtti|ante-natal|acquisition|corpulence|tilt
előre figyelmeztet|forewarn|tell sy off|work on|geranium
példányszám|circulation|twinge|unselfconsciously|misty
vezércikk, szerkesztői cikk|editorial|bring sth to home|tome|get even with
hírolvasó (program, app)|newsreader|shred|horse-harness|take in
kritikus|critic|herbivore|studenthood|immerse
1, oldalsó; 2. félreeső út; 3. mellékfoglalkozás|sideline|proliferation|single-hearted|cuisiner
visszaver, visszaverődik|reverberate|dream up|pastiche|anticipate
erodálódik|erode|antsy|ascertain|object to sth
kicsinosít|tittivate|screech|chirodopist|unashamedly
fájdítja a szívét vknek|tantalise|inevitably|headland|tilt
csípős, szaftos (sztori)|spicy|repartee|alfalfa|ulcerate
vonzó, csábos|alluring|hasty|prudent|shiver
elosztás (javaké), beosztás (vké vhova)  |assignment|favourable|mandatory|proliferation
hidegen, fagyosan|chillingly|cuddly|warble|go it alone
1. félszeg ember; 2. tapintatlan megjegyzés|gauche|intricate|do out of|doodle
tanulatlan|untutored|catchy|go in for|herd of cattle
1. leszakít, letép, leszed; 2. bátorság|pluck|blunder|stir|psychosomatic
meghatározhatatlan, ravasz|elusive|crack down on|preoccupied|obsolete
szivárog|seep|despondent|typographical|take sb in 
születés utáni|post-natal|plumage|place an order|strive for
elidegenedés|alienation|knob|dissipated|coarse
hajthatatlan, kérlelhetetlen|unrelenting|dissertation|feasible|ersatz
kihívás, dac|defiance|put your foot down|widen|intrepidity
lebeszél|dissuade sy from doint sg|outlet|impose|self-fulfilling prophecy
sürgősen/nyomatékosan kér/kíván vmt vktől|crave sg from/of sy|clumsy|draw on|bust
sötétség, homály (átv. is)|obscurity|come apart|dreary|herd of cattle
sötéten|obscurely|take a liking to|take the rough with the smooth|pass through
kiagyal, kieszel|contrive|go down|make off with|clamour
kibogozás, felderítés megoldás|dénouement|plumb|change face|shudder
filmíró|scriptwriter|cuisiner|resilience|shop around
ügyetlen|awkward|stop over|quaintness|turgid
forgószél|whirlwind|inherent|outmoded|take sb in
lever, lenyom, elfojt|suppress|grave|terse|foolproof
megelégedett|contented|puff|compatibility|custard
1. termet; 2. szellemi képesség/kaliber|stature|catchy|contemptuous|sprout
1. eláraszt, fröcsköl; 2. pocskondiáz|bespatter|in good faith|fret|grind
szomorkodva|sorrowfully|prairie|take a pride in|obsolete
túlságosan szigorú|rigorous|pluck|masquerade|twinge
közbeveti magát, közbelép|intervene|plunging|attainment|irrevocable
alulfinanszírozott|underfunded|reel|get up|psychosomatic
aprólékoskodó|meticulous|pimple|peculiar|conspicuous
túlságosan elnéző/engedékeny vkvel szemben|overindulge|come apart|councillor|summons
alulfejlett|underdeveloped|pluck|overwhelm|postulate
whatever szinonima|whatsoever|flight of stairs|sketchy|apprehensively
szüntelenül, szakadatlanul|incessantly|trespass|business associate|boldness
dzsiggelés|tap dancing|headland|come along|breaching
(krémes torta)|gloupier|give as good as he got|unpeel|bundle
(francia krémes süti)|pâtissier|incapacitate|seep|alas
tejsodó|custard|abhor|upset|line-up
újrafuttat|re-run|eloquently|unfurl|go in for
visszatart, megakadályoz|restrain|inlet|break up|vagueness
gyengeelméjű|imbecile|nape|encounter|terse
tortával megdob|flan|make out|bring sb out|to be taken with
elajándékoz|give away|eeriness|eloquently|absent-minded
aprólékoskodóan|meticulously|resilience|bad lot|laterite
kos|ram|innocuous|recluse|sneer
ráébreszt|bring sth to home|tranquilizer|patchwork quilt|tame
megúszik valamit|get away with|caustic|repartee|clumsiness
megold|get round|stir|considerate|rash
okoz|bring sth about|use up|take issue with someone|clay
átjut, túlesik vmn, betegségen pl; |get over|perishable|compatriot|flicker
végére jut|get over with|caret|swell|unemulsified
1. behoz, bevezet; 2. jövedelmez|bring in|perishable|aggravated|sprout
kihozza a legrosszabbat|bring out the worst |titillate|warble|allergy
letör (hangulat)|get sb down|leafy|submit|intent
nagy sikere van|bring the house down|misstep|slurp|prunes
kilyukad valamire|get at |favour|derelict|unfurl
bosszút áll|get my own back|put in a good word|newsreader|intervene
bosszút áll, kiegyenlíti a számlát|get even with|pluck|conspicuously|indentation
tovább megy|get on|ring off|deposit|ripen
elhitet/elfogadtat/megértet vmt vkvel|get sth across to sb|deodorise|tedious|dim
1. közzétesz; 2. társaságba bevezet; 3. világosan kifejez|bring sb out|marsupial|dissuade sy from doint sg|maudlin
lefekszik aludni|get off to sleep|give a shock|tear up|doze
keresztülvisz, keresztüljuttat vmn|get through|conceited|get over with|unpeel
