kiadó előzetes hirdetése, fülszöveg|blurb|undue|stand up|get across to
borítólap|dustjacket|homespun|wear and tear|elm
bonyodalmas|intricate|wary|smallpox|clumsy
átrágja magát egy könyvön|wade through a book|wobble|elderflower|guttular
elhelyez|deposit|buckle under the stress|reel|turn round
vízsodorta faanyag, úsztatott fa|driftwood|conceited|get sb down|knock sb into shape
1. árboc; 2. bokszmeccs, küzdelem;|spar|allotted|tranquilizer|take pity on someone
vörös agyag|laterite|flatland|attenuated|reel
öntudatlanul|unselfconsciously|indulging|ersatz|nodder
rendbehozott|refurbished|bewildered|credibility|stationery
homályos|dim|dodgy|tedium|laterite
egyenetlen|patchy|decompose|leafy|foetus
hétköznapi, prózai, unalmas|prosaic|aplomb|take up on|reassuringly
1. cserje; 2. rumos limonádé (narancs, citrom v. más gyümölcs levéből készítve)|shrub|bush|hurtful|trespass
rigó|thrush|jaded|imply|appetiser
feltételez, találgat|conjecture|stoutly|give him a peace of my mind|horn
előre lát, előrebocsát|anticipate|take sb in |reap|eeriness
repedés, hasadék|rift|take back|lure|elusive
találkozás|encounter|sunbeams|gregarious|exterior
köntös|dressing-gown|get over with|self-preservation|bring in
tapogatózik, puhatolózik|grope|explicable|pectoral|bring sth to home
megjelenés|occurrence|clientele|conceivably|swivel-eyed
olvasztott nyers vastömb/vasöntvény|pig-iron|sideline|dressing-gown|toaster
áramütés|zap|infernal|dampen|amiable
sáv, csík vonal|streak|do away with|propensity to/towards|plead
1. osztó, választó; 2. osztály-, kerületi-|divisional|deposit|offenisve|budge
bombatámadás|bombardment|hold up|change face|dribble away
szundikál|doze|vireo|doctorate|mitigate
1. föld alatti vacok/lyuk/odú; 2. ás, feltúr|burrow|word perfect|business associate|pluck
vizeskancsó|carafe|apprehensive|reluctantly|fittings
lépcsős|flight of stairs|make a down payment|elm|contemptuous
szélroham|gust of wind|bring sth to home|adept|screech
bálnaraj|school of whales|elderflower|redress|mindless
gulya|herd of cattle|dim|oven|extrude
bajban van|be in a spot of bother|vagueness|pull through|edifying
tények és számok|facts and figures|keep it to oneself|toaster|anopheles
„amit nyersz a vámon, bukod a réven helyzet”|swings and roundabouts|indispensable|wishbone|pointed
kockázatos|touch and go|protest|mimick|justiciary
elhasználódás|wear and tear|arouse|every so often|hide
jó idők, rossz idők|thick and thin|swiftly|work up|elm
ritka|few and far between|imply|end user|blunder
kenyérkereset|bread and butter|indentation|supplier|elderflower
valamin felül, ráadásul|over and above|smallpox|sojourn|consistency
bólogató|nodder|precursor|gratifyingly|preoccupied
elmélkedik, elképzel, szemlélődik|contemplate|give him a peace of my mind|point |venerable
kézirat|manuscript|enchant|go along with|vouch for
lábtörlő|doormat|elusive|devote|custard
aszfalt|asphalt|give as good as he got|underdeveloped|bow
elolvad|melt away|jaded|moisten|juicer
kavics|pebble|antiseptic|proprietor|unassuming
leomlott v. simára kopott sziklatömb|boulder|few and far between|take pity on someone|throw light on
folyócska|rivulet|rigorous|shred|gratifyingly
1. eke; 2. szánt|plough|domestic appliance|persistence|fanning
kicsapongó, züllött|dissipated|osteopath|elderflower|single-hearted
megkérgesedett, sebes|crusted|put yourself in my shoes|nod|blue-chip
kéreg (föld, fa), kenyérhéj|crust|self-preservation|outmoded|casualy
lehelet, kifúj valamit|puff|weary|shred|outhale
veszett|rabid|clamour|consistent|terse
fekélyt okoz, elfekélyesedik|ulcerate|consistent|palate|acumen
1. utcaseprő, 2. dögevő/ganéjevő állat|scavenger|incinerate|wear and tear|assert
