házsártoskodás, zsémbelés|grumble|sideline|swell|sprain
motyogás|mumble|aloft|whisper|impediment
mormogás, dünnyögés|mutter|doctorate|untutored|surly
nyaggatás, korholás|nag|pincers|far-sightedness|xenophobia
firkál, míg figyelme másfelé van lekötve|doodle|bolster|gurgle|change face
kuncogás, vihogás|snigger|tentatively|gulf|nutter
zihálás|gasp|do out of|flabby|scavenger
komor/mogorva/fenyegető tekintet, morcos/savanyú/bosszús ábrázat/arc|scowl|impressionable|bond|stick up for one's rights
megvető/csúfondáros/gúnyos mosoly|sneer|toil|recluse|make for
mormolás, mormogás|murmur|get away with|swings and roundabouts|mirmurring
magában foglal, értelmileg tartalmaz|imply|ponder over|take up on|bolster
következtet|infer|don|masquerade|snarl
semmitmondó közhelyszerűség|platitude|proliferation|proliferation|bad lot
elkerülhetetlenül, feltétlenül|inevitably|whirlwind|bust|despondent
szívósan, kitartóan|stoutly|groove|order about|shiver
szúrós, felborzolt|bristling|fringe|tempestuous|single-minded
cseppforma|guttular|twinge|controversially|cranky
csillapít, megnyugtat, mérsékel|mitigate|get sb down|jaded|smartarsed
különösség|quaintness|crave sg from/of sy|antler|attainment
párolt étel/hús; pörkölt; ragu|stew|acorn|jeopardize|inevitably
szilva / aszalt szilva|prunes|pâtissier|scowl|take yourself out of yourself
belső, lényeges, valódi|intrinsic|come along|jabber about|dampen
érdem|merit|get sb down|foothpath|allotted
felébreszt (érzést), felráz vkt a lustálkodásból/közömbösségből |arouse|oblivious|dreary|forewarn
ferde, rézsútos|bias|plummet|self-preservation|rumpus
megvető, lenéző|contemptuous|fiendishly|epidermis|glamorise
kigondol, kiagyal|devise|single-minded|immense|draw on
benne rejlő/lakozó, vele született|inherent|equanimity|rabid|inlet
nem részrehajló, tárgyilagos|impartial|refurbished|oesophagus|editorial
fenyegetően közeledik v. tűnik fel|loom|cuisiner|controversially|commission
feledékeny|oblivious|peace of mind|awkward|plead
nyíltan, őszintén, egyenesen; leplezetlenül|candidly|underfunded|slash|come across
1. kiközösítés; 2. cserépszavazás|ostracism|get on|envision|wordly-wise
összeveszés (barátok között)|breaching|quadruple|go through with|crude
honfitársnő|compatriot|refurbished|alas|antagonism
1. eláraszt, elborít valamivel; 2. megsemmisít, legyőz|overwhelm|mutter|whatsoever|tame
egyezmény, szokás|convention|pilgrimage|twitch|antsy
1. elkészít, megszerkeszt, kihoz (eredményt); 2. kibogoz, megold|make out|sufficiently|self-preservation|mingle
1. megfelel vm helyett v. vmként; 2. végez/leszámol vkvel|do for|oesophagus|editorial|stew
jóvátesz valamit, kártalanít|make amends for sth|pungent|inkling|stop over
bolhából elefántot csinál|make a mountain out of a molehill|commission|amphibian|put sb in a bad light
eltávolít, megszüntet, eltöröl; megöl|do away with|invigorate|patchwork|unfurl
ravaszul megfoszt vkt vmtől; kitúr/kifúr vkt munkából|do out of|re-run|reap|irascible
1. helyreállít, helyrehoz; 2. kitakarít, rendbe tesz, kimos|do up|come up with|facts and figures|startlingly
1. hasznára van/szolgál, hozzájárul vmhez 2. vhová megy/tart/igyekszik|make for|herd of cattle|debonair|bristling
elkotródik, meglép, meglóg|make off|intrinsic|unmemorable|marsupial
meglóg v. odébbáll (a pénzzel)|make off with|studious|do up|sullen
